name,url,description
"Peter Lang Publishing Group","http://www.peterlang.net/","publishes and distributes academic publications throughout the world."
"Prentice Hall Professional Technical Reference","http://www.phptr.com/","computer science, business, and engineering."
"Primary Source Media","http://www.psmedia.com/","publishes electronic titles that provide easy access and a context for understanding primary sources."
"Prous Science Publishers","http://www.prous.es/","offers textbooks, videos, software, and support materials for occupational and technical training.Prous Science is an information provider in the fields of drug R&D, pharmacology, and medicinal chemistry. Journals, books, and databases covering every aspect of drug development are available."
"Reed Chemical Publications","http://www.chemicalconferences.com/","magazines, reference products and conference organizing for the chemical industry."
"ReviewCopy.com","http://www.reviewcopy.com/","serving professors through a recommendation and review copy request service."
"Rowman & Littlefield Publishers, Inc.","http://www.rowmanlittlefield.com/","independent academic and scholarly publisher of trade books, textbooks, and monographs in the humanities and social sciences."
"S. Karger AG","http://www.karger.ch/","medical and scientific publisher."
"Sage Publications Ltd","http://www.sagepub.co.uk/","international academic and professional publisher of books and journals."
"Scarecrow Press","http://www.scarecrowpress.com/","publisher of scholarly and reference books in the humanities and social sciences."
"Science Publishers, Inc.","http://www.scipub.net/","publishers in the areas of biological, agricultural, and material sciences."
"Sheen Publishing","http://www.sheen-pub.co.uk/","specialising in trade and technical magazines in the areas of engineering and construction."
"Smithsonian Institution Press","http://www.sipress.si.edu/","the principal scholarly publishing division of the Smithsonian Institution."
"Springer-Verlag New York","http://www.springer-ny.com/","scientific and technical publishers since 1913, in Engineering, Life Sciences, Environmental, and Physical Scienceinternational scientific publishing company, focusing on the fields of neurosurgery, cell biology, neurology, and microchemistry."
"TEE Publishing","http://www.fotec.co.uk/mehs/tee/index.html","offers scientific literature, with a focus on ecology and vegetation science.publisher of a large range of hobbyist technical books and magazines. Stocks a huge number of rare and out of print hobbyist books and magazines."
"Telecom Publishing","http://www.telecompublishing.com/","publishes cellular roaming guides, newsletters, videos, and books about wireless communications."
"Tempest Publishing","http://www.chem-bio.com/","offers handbooks, manuals, documents, and information for countering chemical and biological terrorism."
"Thela Thesis Publishers","http://www.rozenbergps.com/","independent scientific publishing house primarily concerned with Social Sciences."
"Thieme Medical Publisher","http://www.thieme.com/","publisher of books and journals in print or electronic form in the areas of medicine, chemistry, and related sciences."
"Thoemmes Press","http://www.thoemmes.com/","publishers in philosophy and the history of ideas."
"Transaction Publishers","http://www.transactionpub.com/","topics in international social science."
"Transworld Research Network","http://www.transworldresearch.com/","publishes science review books."
"Twin Press Astronomy Publishers","http://www.twinpress.nl/","publish professional astronomy information."
"UCLA Ethnic Studies Publications Catalog","http://www.sscnet.ucla.edu/esp","small publishing company specializing in textbooks written by professors at the Massachusetts Institute of Technology.independent academic publishers of monographs and textbooks on anthropology, material culture, dress and fashion theory, cultural studies, history, and more.publishes monographs and texts on a range of Humanities subjects, including Egyptology and Middle Eastern, Ancient Near Eastern, and Hispanic studies.interactive, searchable catalog of publications about African American, Chicano/a, and Asian American studies, including nearly three decades of journals."
"University Press of America, Inc.","http://www.univpress.com/","publishes academic and scholarly monographs in the humanities and social sciences."
"University Science Books","http://www.uscibooks.com/","publishes a wide variety of scholarly scientific and technical journals and books.publisher of academic books in astronomy, biology, chemistry, earth and environmental sciences, physics, and technical writing."
"VMS, Inc.","http://www.vms-online.com/","offers textbooks, videos, software, and support materials for occupational and technical training."
"Walter de Gruyter, Inc.","http://www.degruyter.de/","international academic publishing house based in Berlin. Imprints include Mouton de Gruyter, Aldine de Gruyter, and Sellier."
"Watson Publishing International","http://www.watsonpublishing.com/","publishes and distributes books on the history and philosophy of science, medicine, and technology."
"Whitston Publishing Company","http://www.whitston.com/","offering scholarly and general interest books, and the American Humanities Index."
"Whole World Company","http://www.wholeworldcompany.com/","serving professors through a recommendation and review copy request service.run by the Faculty of Education at the University of Western Ontario. Publishes both scholarly monographs and education, and professional books and materials for educators.provides educational and professional language products at university and research level, including a phrase book for writing papers and research."
"Wiley InterScience","http://www.interscience.wiley.com/","online editions of scientific, technical, medical, and professional journals."
"William Andrew Publishing","http://www.williamandrew.com/","anatomy and physiology, biology, chemistry, earth sciences, and microbiology textbooks.publishers of books for professionals and students in the fields of plastics, semiconductors, chemicals, welding, hard materials, and many more."
"Wisdom House Publications Limited","http://www.wisdomhouse.co.uk/","academic publishing house specializing in social science, business, and politics."
"World Scientific","http://www.wspc.com.sg/","publishes books and journals in science and technology."
